"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"4 Male",0.54,0
"31",30,990,"4 Male",0.8591666667,0
"61",60,1020,"4 Male",0.7483333333,0
"91",90,1050,"4 Male",0.85,0
"121",120,1080,"4 Male",0.8116666667,0
"151",150,1110,"4 Male",0.8091666667,0
"181",180,1140,"4 Male",0.7175,0
"211",210,1170,"4 Male",0.7275,0
"241",240,1200,"4 Male",0.6258333333,0
"271",270,1230,"4 Male",0.46,0
"301",300,1260,"4 Male",0.5641666667,0
"331",330,1290,"4 Male",0.5583333333,0
"361",360,1320,"4 Male",0.56,0
"391",390,1350,"4 Male",0.7125,0
"421",420,1380,"4 Male",0.9883333333,0
"451",450,1410,"4 Male",0.895,0
"481",480,0,"4 Male",1.4441666667,0
"511",510,30,"4 Male",1.1433333333,0
"541",540,60,"4 Male",0.9233333333,0
"571",570,90,"4 Male",0.7125,0
"601",600,120,"4 Male",0.4691666667,0
"631",630,150,"4 Male",0.4208333333,0
"661",660,180,"4 Male",0.3358333333,0
"691",690,210,"4 Male",0.375,0
"721",720,240,"4 Male",0.6208333333,0
"751",750,270,"4 Male",0.3825,0
"781",780,300,"4 Male",0.2791666667,0
"811",810,330,"4 Male",0.1216666667,0
"841",840,360,"4 Male",0.2333333333,0
"871",870,390,"4 Male",0.2241666667,0
"901",900,420,"4 Male",0.2016666667,0
"931",930,450,"4 Male",0.3133333333,0
"961",960,480,"4 Male",0.3258333333,0
"991",990,510,"4 Male",0.4333333333,0
"1021",1020,540,"4 Male",0.7008333333,0
"1051",1050,570,"4 Male",0.7783333333,0
"1081",1080,600,"4 Male",0.8041666667,0
"1111",1110,630,"4 Male",1.0041666667,0
"1141",1140,660,"4 Male",1.1666666667,0
"1171",1170,690,"4 Male",1.4191666667,0
"1201",1200,720,"4 Male",2.7075,0
"1231",1230,750,"4 Male",1.9375,0
"1261",1260,780,"4 Male",1.3008333333,0
"1291",1290,810,"4 Male",0.7875,0
"1321",1320,840,"4 Male",0.5316666667,0
"1351",1350,870,"4 Male",0.5133333333,0
"1381",1380,900,"4 Male",0.425,0
"1411",1410,930,"4 Male",0.5916666667,0
"1441",0,960,"4 Female",0.0966666667,0
"1471",30,990,"4 Female",0.1344444444,0
"1501",60,1020,"4 Female",0.2411111111,0
"1531",90,1050,"4 Female",0.3766666667,0
"1561",120,1080,"4 Female",0.4111111111,0
"1591",150,1110,"4 Female",0.3366666667,0
"1621",180,1140,"4 Female",0.2111111111,0
"1651",210,1170,"4 Female",0.2911111111,0
"1681",240,1200,"4 Female",0.1455555556,0
"1711",270,1230,"4 Female",0.0955555556,0
"1741",300,1260,"4 Female",0.2,0
"1771",330,1290,"4 Female",0.2077777778,0
"1801",360,1320,"4 Female",0.5377777778,0
"1831",390,1350,"4 Female",0.5077777778,0
"1861",420,1380,"4 Female",0.6244444444,0
"1891",450,1410,"4 Female",0.5366666667,0
"1921",480,0,"4 Female",1.0022222222,0
"1951",510,30,"4 Female",0.99,0
"1981",540,60,"4 Female",0.9911111111,0
"2011",570,90,"4 Female",1.1577777778,0
"2041",600,120,"4 Female",0.7277777778,0
"2071",630,150,"4 Female",0.9255555556,0
"2101",660,180,"4 Female",0.7455555556,0
"2131",690,210,"4 Female",0.8077777778,0
"2161",720,240,"4 Female",0.8644444444,0
"2191",750,270,"4 Female",0.9488888889,0
"2221",780,300,"4 Female",0.6922222222,0
"2251",810,330,"4 Female",0.4922222222,0
"2281",840,360,"4 Female",0.53,0
"2311",870,390,"4 Female",0.5477777778,0
"2341",900,420,"4 Female",0.5677777778,0
"2371",930,450,"4 Female",0.6,0
"2401",960,480,"4 Female",0.6644444444,0
"2431",990,510,"4 Female",0.5188888889,0
"2461",1020,540,"4 Female",0.9266666667,0
"2491",1050,570,"4 Female",0.9944444444,0
"2521",1080,600,"4 Female",0.8622222222,0
"2551",1110,630,"4 Female",0.8633333333,0
"2581",1140,660,"4 Female",0.9711111111,0
"2611",1170,690,"4 Female",1.0444444444,0
"2641",1200,720,"4 Female",1.3777777778,0
"2671",1230,750,"4 Female",0.9111111111,0
"2701",1260,780,"4 Female",0.5933333333,0
"2731",1290,810,"4 Female",0.2955555556,0
"2761",1320,840,"4 Female",0.1366666667,0
"2791",1350,870,"4 Female",0.1077777778,0
"2821",1380,900,"4 Female",0.1488888889,0
"2851",1410,930,"4 Female",0.1277777778,0
"2881",0,960,"5 Male",0.1619047619,0
"2911",30,990,"5 Male",0.2704761905,0
