"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"1 Male",0.2575,0
"31",30,990,"1 Male",0.3558333333,0
"61",60,1020,"1 Male",0.3525,0
"91",90,1050,"1 Male",0.3966666667,0
"121",120,1080,"1 Male",0.4508333333,0
"151",150,1110,"1 Male",0.3683333333,0
"181",180,1140,"1 Male",0.3025,0
"211",210,1170,"1 Male",0.2958333333,0
"241",240,1200,"1 Male",0.3275,0
"271",270,1230,"1 Male",0.2566666667,0
"301",300,1260,"1 Male",0.2491666667,0
"331",330,1290,"1 Male",0.3575,0
"361",360,1320,"1 Male",0.36,0
"391",390,1350,"1 Male",0.3858333333,0
"421",420,1380,"1 Male",0.5083333333,0
"451",450,1410,"1 Male",0.6458333333,0
"481",480,0,"1 Male",1.12,0
"511",510,30,"1 Male",0.8775,0
"541",540,60,"1 Male",0.795,0
"571",570,90,"1 Male",0.7491666667,0
"601",600,120,"1 Male",0.6966666667,0
"631",630,150,"1 Male",0.6225,0
"661",660,180,"1 Male",0.6525,0
"691",690,210,"1 Male",0.8491666667,0
"721",720,240,"1 Male",0.7475,0
"751",750,270,"1 Male",0.6425,0
"781",780,300,"1 Male",0.685,0
"811",810,330,"1 Male",0.6016666667,0
"841",840,360,"1 Male",0.6041666667,0
"871",870,390,"1 Male",0.5583333333,0
"901",900,420,"1 Male",0.6141666667,0
"931",930,450,"1 Male",0.6925,0
"961",960,480,"1 Male",0.8816666667,0
"991",990,510,"1 Male",0.865,0
"1021",1020,540,"1 Male",1.015,0
"1051",1050,570,"1 Male",1.0716666667,0
"1081",1080,600,"1 Male",1.1441666667,0
"1111",1110,630,"1 Male",1.1225,0
"1141",1140,660,"1 Male",1.2391666667,0
"1171",1170,690,"1 Male",1.2508333333,0
"1201",1200,720,"1 Male",1.8675,0
"1231",1230,750,"1 Male",1.2983333333,0
"1261",1260,780,"1 Male",0.6966666667,0
"1291",1290,810,"1 Male",0.2675,0
"1321",1320,840,"1 Male",0.1575,0
"1351",1350,870,"1 Male",0.2966666667,0
"1381",1380,900,"1 Male",0.2333333333,0
"1411",1410,930,"1 Male",0.2691666667,0
"1441",0,960,"1 Female",0.2525,0
"1471",30,990,"1 Female",0.1833333333,0
"1501",60,1020,"1 Female",0.2375,0
"1531",90,1050,"1 Female",0.2616666667,0
"1561",120,1080,"1 Female",0.3666666667,0
"1591",150,1110,"1 Female",0.2241666667,0
"1621",180,1140,"1 Female",0.1891666667,0
"1651",210,1170,"1 Female",0.3108333333,0
"1681",240,1200,"1 Female",0.2666666667,0
"1711",270,1230,"1 Female",0.3058333333,0
"1741",300,1260,"1 Female",0.1566666667,0
"1771",330,1290,"1 Female",0.1733333333,0
"1801",360,1320,"1 Female",0.2791666667,0
"1831",390,1350,"1 Female",0.34,0
"1861",420,1380,"1 Female",0.4908333333,0
"1891",450,1410,"1 Female",0.4966666667,0
"1921",480,0,"1 Female",0.6866666667,0
"1951",510,30,"1 Female",0.9008333333,0
"1981",540,60,"1 Female",0.8025,0
"2011",570,90,"1 Female",0.6966666667,0
"2041",600,120,"1 Female",0.8316666667,0
"2071",630,150,"1 Female",0.6283333333,0
"2101",660,180,"1 Female",0.6708333333,0
"2131",690,210,"1 Female",0.7341666667,0
"2161",720,240,"1 Female",0.5458333333,0
"2191",750,270,"1 Female",0.4808333333,0
"2221",780,300,"1 Female",0.5191666667,0
"2251",810,330,"1 Female",0.5958333333,0
"2281",840,360,"1 Female",0.525,0
"2311",870,390,"1 Female",0.5091666667,0
"2341",900,420,"1 Female",0.6233333333,0
"2371",930,450,"1 Female",0.6625,0
"2401",960,480,"1 Female",0.4958333333,0
"2431",990,510,"1 Female",0.5291666667,0
"2461",1020,540,"1 Female",0.5958333333,0
"2491",1050,570,"1 Female",0.8425,0
"2521",1080,600,"1 Female",0.7958333333,0
"2551",1110,630,"1 Female",0.9766666667,0
"2581",1140,660,"1 Female",0.9916666667,0
"2611",1170,690,"1 Female",1.11,0
"2641",1200,720,"1 Female",1.4025,0
"2671",1230,750,"1 Female",0.98,0
"2701",1260,780,"1 Female",0.7216666667,0
"2731",1290,810,"1 Female",0.5041666667,0
"2761",1320,840,"1 Female",0.4225,0
"2791",1350,870,"1 Female",0.1658333333,0
"2821",1380,900,"1 Female",0.145,0
"2851",1410,930,"1 Female",0.1266666667,0
"2881",0,960,"3 Male",0.1366666667,0
"2911",30,990,"3 Male",0.1758333333,0
"2941",60,1020,"3 Male",0.16,0
"2971",90,1050,"3 Male",0.3025,0
"3001",120,1080,"3 Male",0.3283333333,0
"3031",150,1110,"3 Male",0.2125,0
"3061",180,1140,"3 Male",0.2091666667,0
"3091",210,1170,"3 Male",0.2041666667,0
"3121",240,1200,"3 Male",0.2108333333,0
"3151",270,1230,"3 Male",0.1966666667,0
"3181",300,1260,"3 Male",0.1316666667,0
"3211",330,1290,"3 Male",0.1716666667,0
