"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"1 Male",0.2091666667,0
"31",30,990,"1 Male",0.1566666667,0
"61",60,1020,"1 Male",0.2,0
"91",90,1050,"1 Male",0.3216666667,0
"121",120,1080,"1 Male",0.38,0
"151",150,1110,"1 Male",0.4441666667,0
"181",180,1140,"1 Male",0.2383333333,0
"211",210,1170,"1 Male",0.2116666667,0
"241",240,1200,"1 Male",0.3066666667,0
"271",270,1230,"1 Male",0.2525,0
"301",300,1260,"1 Male",0.3008333333,0
"331",330,1290,"1 Male",0.2333333333,0
"361",360,1320,"1 Male",0.5075,0
"391",390,1350,"1 Male",0.5425,0
"421",420,1380,"1 Male",0.7008333333,0
"451",450,1410,"1 Male",0.98,0
"481",480,0,"1 Male",1.8158333333,0
"511",510,30,"1 Male",1.45,0
"541",540,60,"1 Male",1.2025,0
"571",570,90,"1 Male",0.9416666667,0
"601",600,120,"1 Male",0.8716666667,0
"631",630,150,"1 Male",0.6758333333,0
"661",660,180,"1 Male",0.5758333333,0
"691",690,210,"1 Male",0.745,0
"721",720,240,"1 Male",0.7983333333,0
"751",750,270,"1 Male",0.65,0
"781",780,300,"1 Male",0.6508333333,0
"811",810,330,"1 Male",0.6008333333,0
"841",840,360,"1 Male",0.5033333333,0
"871",870,390,"1 Male",0.5525,0
"901",900,420,"1 Male",0.5933333333,0
"931",930,450,"1 Male",0.675,0
"961",960,480,"1 Male",0.845,0
"991",990,510,"1 Male",1.0358333333,0
"1021",1020,540,"1 Male",1.175,0
"1051",1050,570,"1 Male",1.1791666667,0
"1081",1080,600,"1 Male",1.3341666667,0
"1111",1110,630,"1 Male",1.4233333333,0
"1141",1140,660,"1 Male",1.5908333333,0
"1171",1170,690,"1 Male",1.8041666667,0
"1201",1200,720,"1 Male",2.5541666667,0
"1231",1230,750,"1 Male",1.0466666667,0
"1261",1260,780,"1 Male",0.2691666667,0
"1291",1290,810,"1 Male",0.1958333333,0
"1321",1320,840,"1 Male",0.1958333333,0
"1351",1350,870,"1 Male",0.125,0
"1381",1380,900,"1 Male",0.1725,0
"1411",1410,930,"1 Male",0.1441666667,0
"1441",0,960,"1 Female",0.060952381,0
"1471",30,990,"1 Female",0.0314285714,0
"1501",60,1020,"1 Female",0.0180952381,0
"1531",90,1050,"1 Female",0.1104761905,0
"1561",120,1080,"1 Female",0.1371428571,0
"1591",150,1110,"1 Female",0.1161904762,0
"1621",180,1140,"1 Female",0.0380952381,0
"1651",210,1170,"1 Female",0.0895238095,0
"1681",240,1200,"1 Female",0.0838095238,0
"1711",270,1230,"1 Female",0.1285714286,0
"1741",300,1260,"1 Female",0.1666666667,0
"1771",330,1290,"1 Female",0.139047619,0
"1801",360,1320,"1 Female",0.1580952381,0
"1831",390,1350,"1 Female",0.379047619,0
"1861",420,1380,"1 Female",0.2104761905,0
"1891",450,1410,"1 Female",0.2495238095,0
"1921",480,0,"1 Female",1.4076190476,0
"1951",510,30,"1 Female",1.1828571429,0
"1981",540,60,"1 Female",1.0514285714,0
"2011",570,90,"1 Female",0.9695238095,0
"2041",600,120,"1 Female",0.8323809524,0
"2071",630,150,"1 Female",0.7685714286,0
"2101",660,180,"1 Female",0.7819047619,0
"2131",690,210,"1 Female",0.7857142857,0
"2161",720,240,"1 Female",0.6333333333,0
"2191",750,270,"1 Female",0.6571428571,0
"2221",780,300,"1 Female",0.4904761905,0
"2251",810,330,"1 Female",0.3619047619,0
"2281",840,360,"1 Female",0.4019047619,0
"2311",870,390,"1 Female",0.5285714286,0
"2341",900,420,"1 Female",0.659047619,0
"2371",930,450,"1 Female",0.7285714286,0
"2401",960,480,"1 Female",0.5676190476,0
"2431",990,510,"1 Female",0.8057142857,0
"2461",1020,540,"1 Female",0.819047619,0
"2491",1050,570,"1 Female",0.8380952381,0
"2521",1080,600,"1 Female",0.8580952381,0
"2551",1110,630,"1 Female",0.8380952381,0
"2581",1140,660,"1 Female",0.900952381,0
"2611",1170,690,"1 Female",1.0685714286,0
"2641",1200,720,"1 Female",1.4428571429,0
"2671",1230,750,"1 Female",0.7342857143,0
"2701",1260,780,"1 Female",0.3866666667,0
"2731",1290,810,"1 Female",0.1828571429,0
"2761",1320,840,"1 Female",0.1228571429,0
"2791",1350,870,"1 Female",0.0761904762,0
"2821",1380,900,"1 Female",0.1847619048,0
"2851",1410,930,"1 Female",0.0533333333,0
"2881",0,960,"3 Male",0.3213333333,0
"2911",30,990,"3 Male",0.3066666667,0
"2941",60,1020,"3 Male",0.384,0
"2971",90,1050,"3 Male",0.2946666667,0
"3001",120,1080,"3 Male",0.5306666667,0
"3031",150,1110,"3 Male",0.616,0
"3061",180,1140,"3 Male",0.332,0
"3091",210,1170,"3 Male",0.3426666667,0
"3121",240,1200,"3 Male",0.392,0
"3151",270,1230,"3 Male",0.348,0
"3181",300,1260,"3 Male",0.4653333333,0
"3211",330,1290,"3 Male",0.4333333333,0
"3241",360,1320,"3 Male",0.5013333333,0
"3271",390,1350,"3 Male",0.628,0
"3301",420,1380,"3 Male",0.6546666667,0
"3331",450,1410,"3 Male",0.8973333333,0
"3361",480,0,"3 Male",1.5826666667,0
"3391",510,30,"3 Male",1.1346666667,0
"3421",540,60,"3 Male",1.0266666667,0
"3451",570,90,"3 Male",0.7106666667,0
"3481",600,120,"3 Male",0.4933333333,0
"3511",630,150,"3 Male",0.4253333333,0
"3541",660,180,"3 Male",0.2613333333,0
"3571",690,210,"3 Male",0.432,0
"3601",720,240,"3 Male",0.2933333333,0
"3631",750,270,"3 Male",0.4453333333,0
"3661",780,300,"3 Male",0.3026666667,0
"3691",810,330,"3 Male",0.4893333333,0
"3721",840,360,"3 Male",0.3933333333,0
"3751",870,390,"3 Male",0.4373333333,0
"3781",900,420,"3 Male",0.5906666667,0
"3811",930,450,"3 Male",0.572,0
"3841",960,480,"3 Male",0.6773333333,0
"3871",990,510,"3 Male",0.6906666667,0
"3901",1020,540,"3 Male",0.956,0
"3931",1050,570,"3 Male",1.1613333333,0
"3961",1080,600,"3 Male",0.9973333333,0
"3991",1110,630,"3 Male",1.136,0
"4021",1140,660,"3 Male",1.3426666667,0
"4051",1170,690,"3 Male",1.5146666667,0
"4081",1200,720,"3 Male",1.784,0
"4111",1230,750,"3 Male",0.816,0
"4141",1260,780,"3 Male",0.3626666667,0
"4171",1290,810,"3 Male",0.32,0
"4201",1320,840,"3 Male",0.2853333333,0
"4231",1350,870,"3 Male",0.392,0
"4261",1380,900,"3 Male",0.2386666667,0
"4291",1410,930,"3 Male",0.336,0
"4321",0,960,"3 Female",0.1211111111,0
