"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"4 Male",0.1683333333,0
"31",30,990,"4 Male",0.3016666667,0
"61",60,1020,"4 Male",0.3091666667,0
"91",90,1050,"4 Male",0.3625,0
"121",120,1080,"4 Male",0.3916666667,0
"151",150,1110,"4 Male",0.2791666667,0
"181",180,1140,"4 Male",0.31,0
"211",210,1170,"4 Male",0.2958333333,0
"241",240,1200,"4 Male",0.3175,0
"271",270,1230,"4 Male",0.1983333333,0
"301",300,1260,"4 Male",0.2625,0
"331",330,1290,"4 Male",0.1691666667,0
"361",360,1320,"4 Male",0.2908333333,0
"391",390,1350,"4 Male",0.3825,0
"421",420,1380,"4 Male",0.6075,0
"451",450,1410,"4 Male",0.61,0
"481",480,0,"4 Male",0.8783333333,0
"511",510,30,"4 Male",0.7716666667,0
"541",540,60,"4 Male",0.8108333333,0
"571",570,90,"4 Male",0.4208333333,0
"601",600,120,"4 Male",0.3041666667,0
"631",630,150,"4 Male",0.2933333333,0
"661",660,180,"4 Male",0.3508333333,0
"691",690,210,"4 Male",0.4691666667,0
"721",720,240,"4 Male",0.4466666667,0
"751",750,270,"4 Male",0.2958333333,0
"781",780,300,"4 Male",0.3075,0
"811",810,330,"4 Male",0.3566666667,0
"841",840,360,"4 Male",0.3391666667,0
"871",870,390,"4 Male",0.485,0
"901",900,420,"4 Male",0.3933333333,0
"931",930,450,"4 Male",0.4325,0
"961",960,480,"4 Male",0.4925,0
"991",990,510,"4 Male",0.4525,0
"1021",1020,540,"4 Male",0.6841666667,0
"1051",1050,570,"4 Male",0.7541666667,0
"1081",1080,600,"4 Male",0.8991666667,0
"1111",1110,630,"4 Male",0.9908333333,0
"1141",1140,660,"4 Male",1.0683333333,0
"1171",1170,690,"4 Male",1.1891666667,0
"1201",1200,720,"4 Male",2.0216666667,0
"1231",1230,750,"4 Male",1.3775,0
"1261",1260,780,"4 Male",0.7583333333,0
"1291",1290,810,"4 Male",0.2425,0
"1321",1320,840,"4 Male",0.225,0
"1351",1350,870,"4 Male",0.1591666667,0
"1381",1380,900,"4 Male",0.1858333333,0
"1411",1410,930,"4 Male",0.1183333333,0
"1441",0,960,"4 Female",0.108,0
"1471",30,990,"4 Female",0.268,0
"1501",60,1020,"4 Female",0.112,0
"1531",90,1050,"4 Female",0.2586666667,0
"1561",120,1080,"4 Female",0.144,0
"1591",150,1110,"4 Female",0.168,0
"1621",180,1140,"4 Female",0.1773333333,0
"1651",210,1170,"4 Female",0.0493333333,0
"1681",240,1200,"4 Female",0.1146666667,0
"1711",270,1230,"4 Female",0.1413333333,0
"1741",300,1260,"4 Female",0.1613333333,0
"1771",330,1290,"4 Female",0.184,0
"1801",360,1320,"4 Female",0.048,0
"1831",390,1350,"4 Female",0.156,0
"1861",420,1380,"4 Female",0.2973333333,0
"1891",450,1410,"4 Female",0.5613333333,0
"1921",480,0,"4 Female",0.8466666667,0
"1951",510,30,"4 Female",0.9946666667,0
"1981",540,60,"4 Female",0.8546666667,0
"2011",570,90,"4 Female",0.8506666667,0
"2041",600,120,"4 Female",0.6866666667,0
"2071",630,150,"4 Female",0.708,0
"2101",660,180,"4 Female",0.796,0
"2131",690,210,"4 Female",0.8426666667,0
"2161",720,240,"4 Female",0.7813333333,0
"2191",750,270,"4 Female",0.7226666667,0
"2221",780,300,"4 Female",0.576,0
"2251",810,330,"4 Female",0.6186666667,0
"2281",840,360,"4 Female",0.508,0
"2311",870,390,"4 Female",0.5066666667,0
"2341",900,420,"4 Female",0.5786666667,0
"2371",930,450,"4 Female",0.52,0
"2401",960,480,"4 Female",0.5813333333,0
"2431",990,510,"4 Female",0.5146666667,0
"2461",1020,540,"4 Female",0.6173333333,0
"2491",1050,570,"4 Female",0.6893333333,0
"2521",1080,600,"4 Female",0.5026666667,0
