"Dec_time","Dec_ZT_time","Condition","mean","SEM"
0,960,"1 Male",0.3,0.152752523165195
1,961,"1 Male",0.125,0.0890656628993031
2,962,"1 Male",0.2,0.102532046272473
3,963,"1 Male",0.15,0.0763762615825973
4,964,"1 Male",0.15,0.0763762615825973
5,965,"1 Male",0.275,0.156022269942303
6,966,"1 Male",0.3,0.125064086135971
7,967,"1 Male",0.45,0.265421773689948
8,968,"1 Male",0.4,0.352281938371192
9,969,"1 Male",0.8,0.447500179057406
10,970,"1 Male",0.125,0.0815514624371692
11,971,"1 Male",0.225,0.14091050078248
12,972,"1 Male",0.15,0.0916375245051714
13,973,"1 Male",0.275,0.167896106459032
14,974,"1 Male",0.35,0.257079255463648
15,975,"1 Male",0.175,0.0791582316693952
16,976,"1 Male",0.25,0.12785207798919
17,977,"1 Male",0.15,0.0843527392286973
18,978,"1 Male",0.4,0.305505046330389
19,979,"1 Male",0.075,0.075
20,980,"1 Male",0.125,0.0890656628993031
21,981,"1 Male",0.125,0.0890656628993031
22,982,"1 Male",0.375,0.170547760060162
23,983,"1 Male",0.325,0.187382441779318
24,984,"1 Male",0.35,0.23629078131263
25,985,"1 Male",0.675,0.334716680806703
26,986,"1 Male",0.275,0.113156913971207
27,987,"1 Male",0.675,0.300400373860261
28,988,"1 Male",0.475,0.245439166832404
29,989,"1 Male",0.325,0.140454847202096
30,990,"1 Male",0.25,0.117396981571296
31,991,"1 Male",0.225,0.121357175735776
32,992,"1 Male",0.525,0.240158868358597
33,993,"1 Male",0.3,0.164862024673626
34,994,"1 Male",0.15,0.0763762615825973
35,995,"1 Male",0.25,0.142099640014701
36,996,"1 Male",0.2,0.0960768922830523
37,997,"1 Male",0.45,0.151699770971549
38,998,"1 Male",0.225,0.110288084299536
39,999,"1 Male",0.25,0.159124205639849
40,1000,"1 Male",0.125,0.0639260389945948
41,1001,"1 Male",0.5,0.175411603861406
42,1002,"1 Male",0.225,0.110288084299536
43,1003,"1 Male",0.1,0.0784464540552736
44,1004,"1 Male",0.125,0.0890656628993031
45,1005,"1 Male",0.1,0.0599144689515278
46,1006,"1 Male",0.325,0.157657125531227
47,1007,"1 Male",0.225,0.200919361295993
48,1008,"1 Male",0.2,0.114354374979373
49,1009,"1 Male",0.2,0.134926380686388
50,1010,"1 Male",0.225,0.145388515752863
51,1011,"1 Male",0.225,0.104313998372271
52,1012,"1 Male",0.525,0.361598126555165
53,1013,"1 Male",0.175,0.0939687618580143
54,1014,"1 Male",0.225,0.121357175735776
55,1015,"1 Male",0.4,0.225888558863969
56,1016,"1 Male",0.225,0.115954787829192
57,1017,"1 Male",0.275,0.151858149059895
58,1018,"1 Male",0.375,0.181473668359055
59,1019,"1 Male",0.4,0.167178700643108
60,1020,"1 Male",0.525,0.242813371405558
61,1021,"1 Male",0.25,0.111803398874989
62,1022,"1 Male",0.5,0.211829636434081
63,1023,"1 Male",0.225,0.126529108843046
64,1024,"1 Male",0.45,0.17522878817457
65,1025,"1 Male",0.325,0.13581425853169
66,1026,"1 Male",0.425,0.159677158265654
67,1027,"1 Male",0.4,0.174679193130781
68,1028,"1 Male",0.55,0.220576168599072
69,1029,"1 Male",0.225,0.110288084299536
70,1030,"1 Male",0.35,0.210463469026983
