"Dec_time","Dec_ZT_time","Condition","mean","SEM"
0,960,"6 Male",0.2,0.0878721741357398
1,961,"6 Male",0.1625,0.0981534416170203
2,962,"6 Male",0.2,0.0841938691053969
3,963,"6 Male",0.2,0.119862790755075
4,964,"6 Male",0.2875,0.204532308425523
5,965,"6 Male",0.225,0.164946289685499
6,966,"6 Male",0.1375,0.0770166634936635
7,967,"6 Male",0.175,0.139817919570102
8,968,"6 Male",0.1,0.0490414446273684
9,969,"6 Male",0.0875,0.0509211042767092
10,970,"6 Male",0.0625,0.0325291981791315
11,971,"6 Male",0.0375,0.0278089663165486
12,972,"6 Male",0.0875,0.0477127149149675
13,973,"6 Male",0.175,0.119034884792099
14,974,"6 Male",0.1125,0.0733332733985179
15,975,"6 Male",0.275,0.155057155652319
16,976,"6 Male",0.15,0.15
17,977,"6 Male",0.1625,0.126345605484783
18,978,"6 Male",0.1375,0.0683062491349516
19,979,"6 Male",0.025,0.0175654292232632
20,980,"6 Male",0.05,0.0302939188449983
21,981,"6 Male",0.1125,0.100621093367046
22,982,"6 Male",0.3,0.172839282923527
23,983,"6 Male",0.0375,0.0278089663165486
24,984,"6 Male",0.225,0.136612498269903
25,985,"6 Male",0.5625,0.374353345404031
26,986,"6 Male",0.25,0.137219218493805
27,987,"6 Male",0.3625,0.155331159099975
28,988,"6 Male",0.1625,0.080433457834663
29,989,"6 Male",0.1125,0.0589833434973517
30,990,"6 Male",0.075,0.0463032109229171
31,991,"6 Male",0.1125,0.0733332733985179
32,992,"6 Male",0.1,0.0521681798354301
33,993,"6 Male",0.175,0.0791069617189604
34,994,"6 Male",0.1875,0.0991957373267494
35,995,"6 Male",0.0375,0.021374819563973
36,996,"6 Male",0.175,0.075
37,997,"6 Male",0.1,0.055117825460955
38,998,"6 Male",0.25,0.125158127830458
39,999,"6 Male",0.125,0.0674466502719845
40,1000,"6 Male",0.175,0.13868163157646
41,1001,"6 Male",0.1,0.0631454018290477
42,1002,"6 Male",0.25,0.136061229701367
43,1003,"6 Male",0.175,0.0920494501114634
44,1004,"6 Male",0.2,0.121175675379993
45,1005,"6 Male",0.0625,0.0370756581921312
46,1006,"6 Male",0.1875,0.124643478912629
47,1007,"6 Male",0.3,0.169137798663424
48,1008,"6 Male",0.0875,0.0646160764962726
49,1009,"6 Male",0.2125,0.0985556290899533
50,1010,"6 Male",0.15,0.0756825481948502
51,1011,"6 Male",0.1125,0.0533490713857469
52,1012,"6 Male",0.15,0.0565349673356726
53,1013,"6 Male",0.0625,0.0370756581921312
54,1014,"6 Male",0.1,0.055117825460955
55,1015,"6 Male",0.225,0.123215104696285
56,1016,"6 Male",0.0875,0.0442724233395285
57,1017,"6 Male",0.0875,0.0442724233395285
